"rank","city_name","latitude","longitude","population"
1,"Delhi",28.61,77.23,32226000
2,"Mumbai",19.0761,72.8775,24973000
3,"Kolkāta",22.5675,88.37,18502000
4,"Bangalore",12.9789,77.5917,15386000
5,"Chennai",13.0825,80.275,12395000
6,"Hyderābād",17.3617,78.4747,10494000
7,"Pune",18.5203,73.8567,8231000
8,"Ahmedabad",23.0225,72.5714,8009000
9,"Sūrat",21.1702,72.8311,6538000
10,"Lucknow",26.85,80.95,3382000
11,"Jaipur",26.9,75.8,3073350
12,"Kanpur",26.4499,80.3319,2701324
13,"Mirzāpur",25.146,82.569,2496970
14,"Nāgpur",21.1497,79.0806,2405665
15,"Ghāziābād",28.67,77.42,2375820
16,"Supaul",26.126,86.605,2229076
17,"Vadodara",22.3,73.2,2065771
18,"Rājkot",22.3,70.7833,2043000
19,"Vishākhapatnam",17.7042,83.2978,2035922
20,"Indore",22.7167,75.8472,1994397
21,"Thāne",19.1972,72.9722,1886941
22,"Bhopāl",23.2599,77.4126,1798218
23,"Pimpri-Chinchwad",18.6186,73.8037,1727692
24,"Patna",25.594,85.1376,1684222
25,"Bilāspur",22.09,82.15,1625502
26,"Ludhiāna",30.91,75.85,1618879
27,"Āgra",27.18,78.02,1585704
28,"Madurai",9.9252,78.1198,1561129
29,"Jamshedpur",22.7925,86.1842,1558000
30,"Prayagraj",25.4358,81.8464,1536218
31,"Nāsik",19.9975,73.7898,1486053
32,"Farīdābād",28.4211,77.3078,1414050
33,"Meerut",28.98,77.71,1305429
34,"Jabalpur",23.1667,79.9333,1267564
35,"Kalyān",19.2502,73.1602,1246381
36,"Vasai-Virar",19.3607,72.7956,1221233
37,"Najafgarh",28.6092,76.9798,1203180
38,"Vārānasi",25.3189,83.0128,1198491
39,"Srīnagar",34.09,74.79,1180570
40,"Aurangābād",19.88,75.32,1175116
41,"Dhanbād",23.7998,86.4305,1162472
42,"Amritsar",31.64,74.86,1132383
43,"Alīgarh",27.88,78.08,1131160
44,"Guwāhāti",26.1722,91.7458,1116267
45,"Hāora",22.58,88.3294,1077075
46,"Rānchi",23.36,85.33,1073440
47,"Gwalior",26.2124,78.1772,1069276
48,"Chandīgarh",30.75,76.78,1055450
49,"Haldwāni",29.22,79.52,1050000
50,"Vijayavāda",16.5193,80.6305,1048240
